County,Timothy Barr (I) (Rep)_Election Day Votes,Timothy Barr (I) (Rep)_Absentee by Mail Votes,Timothy Barr (I) (Rep)_Advanced Voting Votes,Timothy Barr (I) (Rep)_Provisional Votes,Timothy Barr (I) (Rep)_TOTAL VOTES,Clifton  Marshall (Dem)_Election Day Votes,Clifton  Marshall (Dem)_Absentee by Mail Votes,Clifton  Marshall (Dem)_Advanced Voting Votes,Clifton  Marshall (Dem)_Provisional Votes,Clifton  Marshall (Dem)_TOTAL VOTES,Total,
Gwinnett,2256,2516,7159,3,11934,1071,2851,4150,0,8072,20006,
Hall,1782,2278,8202,0,12262,378,1437,1764,0,3579,15841,
