County,Karen Bennett (I) (Dem)_Election Day Votes,Karen Bennett (I) (Dem)_Absentee by Mail Votes,Karen Bennett (I) (Dem)_Advanced Voting Votes,Karen Bennett (I) (Dem)_Provisional Votes,Karen Bennett (I) (Dem)_TOTAL VOTES,Total,
DeKalb,1808,4583,8457,34,14882,14882,
Gwinnett,1685,3355,5758,6,10804,10804,
