County,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_TOTAL VOTES,Total,
Burke,2454,2090,3190,0,7734,7734,
Richmond,2585,4980,6894,0,14459,14459,
