County,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_TOTAL VOTES,Total,
Jefferson,1245,1043,2175,9,4472,4472,
Richmond,2931,4886,6352,0,14169,14169,
