County,Houston Gaines (I) (Rep)_Election Day Votes,Houston Gaines (I) (Rep)_Absentee by Mail Votes,Houston Gaines (I) (Rep)_Advanced Voting Votes,Houston Gaines (I) (Rep)_Provisional Votes,Houston Gaines (I) (Rep)_TOTAL VOTES,"""""Mokah"""" Jasmine Johnson (Dem)_Election Day Votes","""""Mokah"""" Jasmine Johnson (Dem)_Absentee by Mail Votes","""""Mokah"""" Jasmine Johnson (Dem)_Advanced Voting Votes","""""Mokah"""" Jasmine Johnson (Dem)_Provisional Votes","""""Mokah"""" Jasmine Johnson (Dem)_TOTAL VOTES",Total,
Barrow,556,294,1393,0,2243,127,265,422,0,814,3057,
Clarke,1259,2084,3185,3,6531,1253,3791,4112,9,9165,15696,
Jackson,591,502,1611,1,2705,146,336,403,0,885,3590,
Oconee,741,1147,3492,0,5380,181,832,1062,0,2075,7455,
