County,"Vance Smith, Jr. (I) (Rep)_Election Day Votes","Vance Smith, Jr. (I) (Rep)_Absentee by Mail Votes","Vance Smith, Jr. (I) (Rep)_Advanced Voting Votes","Vance Smith, Jr. (I) (Rep)_Provisional Votes","Vance Smith, Jr. (I) (Rep)_TOTAL VOTES",Total,
Harris,3831,1668,4428,14,9941,9941,
Muscogee,956,1477,3503,9,5945,5945,
Troup,2664,1661,4858,16,9199,9199,
