County,Beth Camp (Rep)_Election Day Votes,Beth Camp (Rep)_Absentee by Mail Votes,Beth Camp (Rep)_Advanced Voting Votes,Beth Camp (Rep)_Provisional Votes,Beth Camp (Rep)_TOTAL VOTES,Chris Benton (Dem)_Election Day Votes,Chris Benton (Dem)_Absentee by Mail Votes,Chris Benton (Dem)_Advanced Voting Votes,Chris Benton (Dem)_Provisional Votes,Chris Benton (Dem)_TOTAL VOTES,Total,
Lamar,630,346,1462,5,2443,258,551,691,1,1501,3944,
Pike,2353,958,5895,0,9206,256,478,617,0,1351,10557,
Upson,1356,1219,6018,4,8597,632,1462,1870,0,3964,12561,
