County,Alan Powell (I) (Rep)_Election Day Votes,Alan Powell (I) (Rep)_Absentee by Mail Votes,Alan Powell (I) (Rep)_Advanced Voting Votes,Alan Powell (I) (Rep)_Provisional Votes,Alan Powell (I) (Rep)_TOTAL VOTES,Alisha Allen (Dem)_Election Day Votes,Alisha Allen (Dem)_Absentee by Mail Votes,Alisha Allen (Dem)_Advanced Voting Votes,Alisha Allen (Dem)_Provisional Votes,Alisha Allen (Dem)_TOTAL VOTES,Total,
Franklin,2299,1511,5415,2,9227,314,471,558,0,1343,10570,
Hart,2431,1625,5911,3,9970,438,869,1109,1,2417,12387,
Madison,1096,451,1515,0,3062,104,156,160,0,420,3482,
