County,Mandisha A. Thomas (Dem)_Election Day Votes,Mandisha A. Thomas (Dem)_Absentee by Mail Votes,Mandisha A. Thomas (Dem)_Advanced Voting Votes,Mandisha A. Thomas (Dem)_Provisional Votes,Mandisha A. Thomas (Dem)_TOTAL VOTES,Total,
Douglas,440,1065,2155,0,3660,3660,
Fulton,2183,5639,14902,121,22845,22845,
