index,County,Precinct,Registered Voters,Rob Leverett (Rep)_Election Day Votes,Rob Leverett (Rep)_Advanced Voting Votes,Rob Leverett (Rep)_Absentee by Mail Votes,Rob Leverett (Rep)_Provisional Votes,Rob Leverett (Rep)_Choice Total,Kerry Dornell Hamm (Dem)_Election Day Votes,Kerry Dornell Hamm (Dem)_Advanced Voting Votes,Kerry Dornell Hamm (Dem)_Absentee by Mail Votes,Kerry Dornell Hamm (Dem)_Provisional Votes,Kerry Dornell Hamm (Dem)_Choice Total,Total,
0,Wilkes,Young Farmers Bldg,1173,123,445,149,1,718,39,90,63,0,192,910,
1,Wilkes,Metasville Fire Sta,610,106,170,50,0,326,26,32,65,0,123,449,
