index,County,Precinct,Registered Voters,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_Choice Total,Total,
0,Wilkes,Senior Citizen Center,1552,128,386,139,5,658,658,
1,Wilkes,Edward B Pope Center,1017,112,191,68,0,371,371,
2,Wilkes,Rayle City Hall,570,140,127,51,1,319,319,
3,Wilkes,Courthouse,1001,98,386,108,0,592,592,
4,Wilkes,Tignal Sch Lunch Rm,896,193,229,98,0,520,520,
