index,County,Precinct,Registered Voters,Genna Albea Grimaud (Dem)_Election Day Votes,Genna Albea Grimaud (Dem)_Advanced Voting Votes,Genna Albea Grimaud (Dem)_Absentee by Mail Votes,Genna Albea Grimaud (Dem)_Provisional Votes,Genna Albea Grimaud (Dem)_Choice Total,Total,
0,Wilkes,Senior Citizen Center,1552,177,479,251,4,911,911,
1,Wilkes,Young Farmers Bldg,1173,129,437,167,0,733,733,
2,Wilkes,Metasville Fire Sta,610,107,154,101,0,362,362,
3,Wilkes,Edward B Pope Center,1017,163,281,138,0,582,582,
4,Wilkes,Rayle City Hall,570,135,121,75,1,332,332,
5,Wilkes,Courthouse,1001,102,372,146,0,620,620,
6,Wilkes,Tignal Sch Lunch Rm,896,210,230,156,0,596,596,
