index,County,Precinct,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
0,Wilkes,Senior Citizen Center,1552,173,474,245,5,897,897,
1,Wilkes,Young Farmers Bldg,1173,124,431,163,1,719,719,
2,Wilkes,Metasville Fire Sta,610,103,152,95,0,350,350,
3,Wilkes,Edward B Pope Center,1017,159,283,133,0,575,575,
4,Wilkes,Rayle City Hall,570,129,119,77,1,326,326,
5,Wilkes,Courthouse,1001,102,364,146,0,612,612,
6,Wilkes,Tignal Sch Lunch Rm,896,198,219,154,0,571,571,
