index,County,Precinct,Registered Voters,Greg Rogers (Rep)_Election Day Votes,Greg Rogers (Rep)_Advanced Voting Votes,Greg Rogers (Rep)_Absentee by Mail Votes,Greg Rogers (Rep)_Provisional Votes,Greg Rogers (Rep)_Choice Total,Mark A. Moore (I) (Dem)_Election Day Votes,Mark A. Moore (I) (Dem)_Advanced Voting Votes,Mark A. Moore (I) (Dem)_Absentee by Mail Votes,Mark A. Moore (I) (Dem)_Provisional Votes,Mark A. Moore (I) (Dem)_Choice Total,Total,
0,Wilkes,Senior Citizen Center,1552,63,181,51,1,296,135,382,241,4,762,1058,
1,Wilkes,Young Farmers Bldg,1173,82,255,81,1,419,86,289,132,0,507,926,
2,Wilkes,Metasville Fire Sta,610,81,132,48,0,261,51,76,68,0,195,456,
3,Wilkes,Edward B Pope Center,1017,62,119,35,0,216,118,208,125,0,451,667,
4,Wilkes,Rayle City Hall,570,98,99,26,0,223,72,58,57,1,188,411,
5,Wilkes,Courthouse,1001,53,228,61,0,342,64,226,114,0,404,746,
6,Wilkes,Tignal Sch Lunch Rm,896,140,150,56,0,346,94,125,117,0,336,682,
