index,County,Precinct,Registered Voters,Herberina (Nita) Turner (Dem)_Election Day Votes,Herberina (Nita) Turner (Dem)_Advanced Voting Votes,Herberina (Nita) Turner (Dem)_Absentee by Mail Votes,Herberina (Nita) Turner (Dem)_Provisional Votes,Herberina (Nita) Turner (Dem)_Choice Total,Total,
0,Taliaferro,Sharon,253,54,43,39,0,136,136,
1,Taliaferro,Crawfordville,992,100,263,192,0,555,555,
