index,County,Precinct,Registered Voters,Vicki Swann (I) (Dem)_Election Day Votes,Vicki Swann (I) (Dem)_Advanced Voting Votes,Vicki Swann (I) (Dem)_Absentee by Mail Votes,Vicki Swann (I) (Dem)_Provisional Votes,Vicki Swann (I) (Dem)_Choice Total,Total,
0,Taliaferro,Sharon,253,63,45,46,1,155,155,
1,Taliaferro,Crawfordville,992,113,306,212,0,631,631,
