index,County,Precinct,Registered Voters,Steven Sainz (I) (Rep)_Election Day Votes,Steven Sainz (I) (Rep)_Advanced Voting Votes,Steven Sainz (I) (Rep)_Absentee by Mail Votes,Steven Sainz (I) (Rep)_Provisional Votes,Steven Sainz (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,3,1,2,0,6,6,
1,Ware,200A,2730,242,867,227,0,1336,1336,
2,Ware,200B,976,60,156,81,0,297,297,
3,Ware,400,3538,414,1519,372,0,2305,2305,
