index,County,Precinct,Registered Voters,Atha M. Lucas (I) (Rep)_Election Day Votes,Atha M. Lucas (I) (Rep)_Advanced Voting Votes,Atha M. Lucas (I) (Rep)_Absentee by Mail Votes,Atha M. Lucas (I) (Rep)_Provisional Votes,Atha M. Lucas (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,241,836,705,0,1782,1782,
1,Ware,200A,2730,248,921,249,0,1418,1418,
2,Ware,200B,976,65,209,111,0,385,385,
3,Ware,300,4061,431,1583,496,0,2510,2510,
4,Ware,304,1269,197,443,86,0,726,726,
5,Ware,400,3538,417,1565,387,0,2369,2369,
6,Ware,404,373,157,71,38,0,266,266,
7,Ware,405,636,207,195,51,0,453,453,
8,Ware,406,1659,307,698,131,0,1136,1136,
9,Ware,407,505,206,114,29,0,349,349,
10,Ware,408,523,209,123,25,0,357,357,
11,Ware,409,984,228,360,78,0,666,666,
