index,County,Precinct,Registered Voters,Jerry Pope (I) (Rep)_Election Day Votes,Jerry Pope (I) (Rep)_Advanced Voting Votes,Jerry Pope (I) (Rep)_Absentee by Mail Votes,Jerry Pope (I) (Rep)_Provisional Votes,Jerry Pope (I) (Rep)_Choice Total,Total,
0,Ware,200A,2730,242,885,236,0,1363,1363,
1,Ware,200B,976,66,182,93,0,341,341,
2,Ware,400,3538,266,994,284,0,1544,1544,
