index,County,Precinct,Registered Voters,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_Choice Total,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_Choice Total",Total,
0,Ware,100,4740,34,137,103,0,274,95,442,481,0,1018,1292,
1,Ware,200A,2730,0,6,4,0,10,0,13,4,0,17,27,
2,Ware,300,4061,362,1388,375,0,2125,95,294,202,0,591,2716,
3,Ware,404,373,156,67,32,0,255,6,4,17,0,27,282,
4,Ware,405,636,200,195,49,0,444,10,7,9,0,26,470,
5,Ware,406,1659,295,659,118,0,1072,20,51,23,0,94,1166,
6,Ware,408,523,208,123,25,0,356,4,6,3,0,13,369,
7,Ware,409,984,219,353,70,0,642,9,24,18,0,51,693,
