index,County,Precinct,Registered Voters,John L. Corbett (I) (Rep)_Election Day Votes,John L. Corbett (I) (Rep)_Advanced Voting Votes,John L. Corbett (I) (Rep)_Absentee by Mail Votes,John L. Corbett (I) (Rep)_Provisional Votes,John L. Corbett (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,119,330,210,0,659,659,
1,Ware,200B,976,4,25,9,0,38,38,
2,Ware,304,1269,193,438,80,0,711,711,
3,Ware,407,505,202,116,29,0,347,347,
