index,County,Precinct,Registered Voters,Grady Lodge Holman (I) (Rep)_Election Day Votes,Grady Lodge Holman (I) (Rep)_Advanced Voting Votes,Grady Lodge Holman (I) (Rep)_Absentee by Mail Votes,Grady Lodge Holman (I) (Rep)_Provisional Votes,Grady Lodge Holman (I) (Rep)_Choice Total,Total,
0,Early,Arlington,911,174,176,93,0,443,443,
1,Early,Blakely,3445,331,881,326,3,1541,1541,
2,Early,Cedar Springs,1114,264,316,134,0,714,714,
3,Early,Cuba,1180,213,390,127,0,730,730,
4,Early,Urquhart,670,122,263,94,0,479,479,
