index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Early,Arlington,911,166,167,81,0,414,414,
1,Early,Blakely,3445,298,821,278,3,1400,1400,
2,Early,Cedar Springs,1114,270,315,121,0,706,706,
3,Early,Cuba,1180,198,370,111,0,679,679,
4,Early,Urquhart,670,120,259,83,0,462,462,
