index,County,Precinct,Registered Voters,Todd T. Hunter (I) (Dem)_Election Day Votes,Todd T. Hunter (I) (Dem)_Advanced Voting Votes,Todd T. Hunter (I) (Dem)_Absentee by Mail Votes,Todd T. Hunter (I) (Dem)_Provisional Votes,Todd T. Hunter (I) (Dem)_Choice Total,Total,
0,Early,Arlington,911,197,214,151,0,562,562,
1,Early,Blakely,3445,501,1148,416,3,2068,2068,
2,Early,Cedar Springs,1114,240,312,153,0,705,705,
3,Early,Cuba,1180,220,406,144,0,770,770,
4,Early,Urquhart,670,117,262,94,0,473,473,
