index,County,Precinct,Registered Voters,Gayle W. Anderson (I) (Rep)_Election Day Votes,Gayle W. Anderson (I) (Rep)_Advanced Voting Votes,Gayle W. Anderson (I) (Rep)_Absentee by Mail Votes,Gayle W. Anderson (I) (Rep)_Provisional Votes,Gayle W. Anderson (I) (Rep)_Choice Total,Total,
0,Early,Arlington,911,174,171,92,0,437,437,
1,Early,Blakely,3445,343,917,338,3,1601,1601,
2,Early,Cedar Springs,1114,271,325,130,0,726,726,
3,Early,Cuba,1180,216,397,132,0,745,745,
4,Early,Urquhart,670,126,264,92,0,482,482,
