index,County,Precinct,Registered Voters,Kyle Moore (Rep)_Election Day Votes,Kyle Moore (Rep)_Advanced Voting Votes,Kyle Moore (Rep)_Absentee by Mail Votes,Kyle Moore (Rep)_Provisional Votes,Kyle Moore (Rep)_Choice Total,"Jeffery Haynes, Sr. (I) (Dem)_Election Day Votes","Jeffery Haynes, Sr. (I) (Dem)_Advanced Voting Votes","Jeffery Haynes, Sr. (I) (Dem)_Absentee by Mail Votes","Jeffery Haynes, Sr. (I) (Dem)_Provisional Votes","Jeffery Haynes, Sr. (I) (Dem)_Choice Total",Total,
0,Early,Arlington,911,101,119,46,0,266,111,107,139,0,357,623,
1,Early,Blakely,3445,16,79,27,0,122,81,87,32,0,200,322,
2,Early,Cuba,1180,33,47,17,0,97,9,26,30,0,65,162,
