index,County,Precinct,Registered Voters,Ann Harrell (I) (Rep)_Election Day Votes,Ann Harrell (I) (Rep)_Advanced Voting Votes,Ann Harrell (I) (Rep)_Absentee by Mail Votes,Ann Harrell (I) (Rep)_Provisional Votes,Ann Harrell (I) (Rep)_Choice Total,Total,
0,Early,Arlington,911,179,184,102,0,465,465,
1,Early,Blakely,3445,349,927,353,3,1632,1632,
2,Early,Cedar Springs,1114,271,327,135,0,733,733,
3,Early,Cuba,1180,217,398,132,0,747,747,
4,Early,Urquhart,670,121,260,95,0,476,476,
