index,County,Precinct,Registered Voters,"Paul Winston Chandler, Jr. (Rep)_Election Day Votes","Paul Winston Chandler, Jr. (Rep)_Advanced Voting Votes","Paul Winston Chandler, Jr. (Rep)_Absentee by Mail Votes","Paul Winston Chandler, Jr. (Rep)_Provisional Votes","Paul Winston Chandler, Jr. (Rep)_Choice Total",William (Fats) Price (I) (Dem)_Election Day Votes,William (Fats) Price (I) (Dem)_Advanced Voting Votes,William (Fats) Price (I) (Dem)_Absentee by Mail Votes,William (Fats) Price (I) (Dem)_Provisional Votes,William (Fats) Price (I) (Dem)_Choice Total,Total,
0,Early,Arlington,911,83,100,38,0,221,139,148,152,0,439,660,
1,Early,Blakely,3445,104,445,177,3,729,448,807,285,0,1540,2269,
2,Early,Cedar Springs,1114,212,241,87,0,540,71,109,87,0,267,807,
3,Early,Cuba,1180,139,261,56,0,456,102,186,110,0,398,854,
4,Early,Urquhart,670,97,190,71,0,358,38,103,34,0,175,533,
