index,County,Precinct,Registered Voters,Bill Cox (I) (Rep)_Election Day Votes,Bill Cox (I) (Rep)_Advanced Voting Votes,Bill Cox (I) (Rep)_Absentee by Mail Votes,Bill Cox (I) (Rep)_Provisional Votes,Bill Cox (I) (Rep)_Choice Total,Total,
0,Bryan,Pembroke,2653,298,877,168,0,1343,1343,
1,Bryan,Danielsiding,2291,271,948,224,0,1443,1443,
2,Bryan,Ellabell,2341,413,870,153,1,1437,1437,
3,Bryan,Black Creek,2995,398,995,191,1,1585,1585,
4,Bryan,Ways Station,1974,220,621,151,1,993,993,
5,Bryan,RH Rec Complex,3264,295,1096,268,1,1660,1660,
6,Bryan,JF Gregory Park,2885,178,1493,292,0,1963,1963,
7,Bryan,Keller,4270,383,2057,362,0,2802,2802,
8,Bryan,Hwy 144 East,5365,399,2376,522,0,3297,3297,
9,Bryan,Public Safety Complex,2570,267,834,184,1,1286,1286,
