index,County,Precinct,Registered Voters,Derrick Smith (I) (Rep)_Election Day Votes,Derrick Smith (I) (Rep)_Advanced Voting Votes,Derrick Smith (I) (Rep)_Absentee by Mail Votes,Derrick Smith (I) (Rep)_Provisional Votes,Derrick Smith (I) (Rep)_Choice Total,Total,
0,Bryan,RH Rec Complex,3264,289,1073,256,1,1619,1619,
1,Bryan,JF Gregory Park,2885,179,1466,272,0,1917,1917,
