index,County,Precinct,Registered Voters,Dennis C. Seger (I) (Rep)_Election Day Votes,Dennis C. Seger (I) (Rep)_Advanced Voting Votes,Dennis C. Seger (I) (Rep)_Absentee by Mail Votes,Dennis C. Seger (I) (Rep)_Provisional Votes,Dennis C. Seger (I) (Rep)_Choice Total,Total,
0,Bryan,Black Creek,2995,395,993,197,1,1586,1586,
1,Bryan,Ways Station,1974,218,604,144,1,967,967,
