index,County,Precinct,Registered Voters,"Don Montgomery, Jr. (I) (Rep)_Election Day Votes","Don Montgomery, Jr. (I) (Rep)_Advanced Voting Votes","Don Montgomery, Jr. (I) (Rep)_Absentee by Mail Votes","Don Montgomery, Jr. (I) (Rep)_Provisional Votes","Don Montgomery, Jr. (I) (Rep)_Choice Total",Total,
0,Bryan,Pembroke,2653,290,871,165,0,1326,1326,
1,Bryan,Danielsiding,2291,268,930,222,0,1420,1420,
2,Bryan,Ellabell,2341,404,859,156,1,1420,1420,
3,Bryan,Black Creek,2995,392,987,191,1,1571,1571,
4,Bryan,Ways Station,1974,214,601,150,1,966,966,
5,Bryan,RH Rec Complex,3264,290,1063,253,1,1607,1607,
6,Bryan,JF Gregory Park,2885,179,1464,270,0,1913,1913,
7,Bryan,Keller,4270,381,2021,357,0,2759,2759,
8,Bryan,Hwy 144 East,5365,391,2334,515,0,3240,3240,
9,Bryan,Public Safety Complex,2570,266,805,174,1,1246,1246,
