index,County,Precinct,Registered Voters,Karen Krupp (I) (Rep)_Election Day Votes,Karen Krupp (I) (Rep)_Advanced Voting Votes,Karen Krupp (I) (Rep)_Absentee by Mail Votes,Karen Krupp (I) (Rep)_Provisional Votes,Karen Krupp (I) (Rep)_Choice Total,Total,
0,Bryan,Pembroke,2653,291,859,164,0,1314,1314,
1,Bryan,Danielsiding,2291,271,934,222,0,1427,1427,
2,Bryan,Ellabell,2341,404,858,154,1,1417,1417,
3,Bryan,Black Creek,2995,394,983,189,1,1567,1567,
4,Bryan,Ways Station,1974,222,609,149,1,981,981,
5,Bryan,RH Rec Complex,3264,289,1077,254,1,1621,1621,
6,Bryan,JF Gregory Park,2885,176,1463,278,0,1917,1917,
7,Bryan,Keller,4270,384,2035,356,0,2775,2775,
8,Bryan,Hwy 144 East,5365,392,2355,512,1,3260,3260,
9,Bryan,Public Safety Complex,2570,266,819,177,1,1263,1263,
