index,County,Precinct,Registered Voters,Jesse Petrea (I) (Rep)_Election Day Votes,Jesse Petrea (I) (Rep)_Advanced Voting Votes,Jesse Petrea (I) (Rep)_Absentee by Mail Votes,Jesse Petrea (I) (Rep)_Provisional Votes,Jesse Petrea (I) (Rep)_Choice Total,Michael Mack (Dem)_Election Day Votes,Michael Mack (Dem)_Advanced Voting Votes,Michael Mack (Dem)_Absentee by Mail Votes,Michael Mack (Dem)_Provisional Votes,Michael Mack (Dem)_Choice Total,Total,
0,Bryan,Danielsiding,2291,130,556,97,0,783,14,92,76,0,182,965,
1,Bryan,JF Gregory Park,2885,24,181,31,0,236,2,41,21,0,64,300,
2,Bryan,Keller,4270,322,1753,236,0,2311,83,507,297,0,887,3198,
3,Bryan,Hwy 144 East,5365,224,1321,222,0,1767,37,429,202,0,668,2435,
