index,County,Precinct,Registered Voters,Ron Stephens (I) (Rep)_Election Day Votes,Ron Stephens (I) (Rep)_Advanced Voting Votes,Ron Stephens (I) (Rep)_Absentee by Mail Votes,Ron Stephens (I) (Rep)_Provisional Votes,Ron Stephens (I) (Rep)_Choice Total,Marcus Thompson (Dem)_Election Day Votes,Marcus Thompson (Dem)_Advanced Voting Votes,Marcus Thompson (Dem)_Absentee by Mail Votes,Marcus Thompson (Dem)_Provisional Votes,Marcus Thompson (Dem)_Choice Total,Total,
0,Bryan,Danielsiding,2291,109,282,63,0,454,32,104,83,0,219,673,
1,Bryan,Ways Station,1974,174,464,70,1,709,66,268,188,1,523,1232,
2,Bryan,RH Rec Complex,3264,211,815,139,1,1166,115,464,275,0,854,2020,
3,Bryan,JF Gregory Park,2885,133,1156,194,0,1483,35,247,153,0,435,1918,
4,Bryan,Hwy 144 East,5365,111,594,128,0,833,74,373,167,1,615,1448,
5,Bryan,Public Safety Complex,2570,208,640,105,0,953,99,360,171,1,631,1584,
