index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Bryan,Pembroke,2653,240,742,129,0,1111,114,339,114,0,567,10,16,6,0,32,1710,
1,Bryan,Danielsiding,2291,233,822,158,0,1213,53,210,172,0,435,13,14,2,0,29,1677,
2,Bryan,Ellabell,2341,385,795,119,1,1300,58,148,96,0,302,8,8,1,0,17,1619,
3,Bryan,Black Creek,2995,346,934,161,1,1442,92,198,103,0,393,11,5,5,0,21,1856,
4,Bryan,Ways Station,1974,181,469,66,1,717,64,272,199,1,536,5,9,7,0,21,1274,
5,Bryan,RH Rec Complex,3264,205,797,134,1,1137,111,494,283,0,888,12,20,15,0,47,2072,
6,Bryan,JF Gregory Park,2885,152,1300,202,0,1654,39,329,205,0,573,7,24,4,0,35,2262,
7,Bryan,Keller,4270,307,1697,201,0,2205,96,583,338,0,1017,6,25,12,0,43,3265,
8,Bryan,Hwy 144 East,5365,327,1877,324,0,2528,120,865,407,1,1393,16,39,16,0,71,3992,
9,Bryan,Public Safety Complex,2570,203,639,94,1,937,91,356,188,0,635,20,17,4,0,41,1613,
