index,County,Precinct,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,
0,Bryan,Pembroke,2653,292,857,165,0,1314,1314,
1,Bryan,Ellabell,2341,407,867,155,1,1430,1430,
2,Bryan,Black Creek,2995,395,991,192,1,1579,1579,
