index,County,Precinct,Registered Voters,Billy Hickman (I) (Rep)_Election Day Votes,Billy Hickman (I) (Rep)_Advanced Voting Votes,Billy Hickman (I) (Rep)_Absentee by Mail Votes,Billy Hickman (I) (Rep)_Provisional Votes,Billy Hickman (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,431,712,147,1,1291,1291,
1,Effingham,1B,3005,666,983,236,2,1887,1887,
2,Effingham,1C,1446,462,318,90,0,870,870,
3,Effingham,1D,2031,574,597,134,1,1306,1306,
4,Effingham,2A,3038,683,1030,264,1,1978,1978,
5,Effingham,2B,3010,590,891,261,1,1743,1743,
6,Effingham,2C,4621,750,1667,430,3,2850,2850,
7,Effingham,3A,1398,348,452,108,0,908,908,
8,Effingham,3B,1553,329,447,116,0,892,892,
9,Effingham,3C,2060,338,763,147,1,1249,1249,
10,Effingham,3D,3125,537,1130,214,4,1885,1885,
11,Effingham,4A,3726,537,1396,295,2,2230,2230,
12,Effingham,4B,1888,264,588,150,0,1002,1002,
13,Effingham,4C,2837,470,1039,247,0,1756,1756,
14,Effingham,5A,2924,486,1010,226,2,1724,1724,
15,Effingham,5B,3962,603,1253,304,1,2161,2161,
16,Effingham,5C,1684,283,594,153,1,1031,1031,
