index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Effingham,1B,3005,175,451,70,0,696,24,52,47,0,123,819,
1,Effingham,3A,1398,317,428,88,0,833,49,67,47,0,163,996,
2,Effingham,3B,1553,261,397,76,0,734,138,141,103,0,382,1116,
3,Effingham,3C,2060,293,695,121,1,1110,71,178,50,1,300,1410,
4,Effingham,3D,3125,451,1017,151,3,1622,148,264,148,2,562,2184,
5,Effingham,4A,3726,484,1250,224,0,1958,100,312,159,0,571,2529,
6,Effingham,4B,1888,167,343,80,0,590,36,67,52,0,155,745,
7,Effingham,4C,2837,427,988,190,0,1605,70,120,117,0,307,1912,
