index,County,Precinct,Registered Voters,Wesley Corbitt (I) (Rep)_Election Day Votes,Wesley Corbitt (I) (Rep)_Advanced Voting Votes,Wesley Corbitt (I) (Rep)_Absentee by Mail Votes,Wesley Corbitt (I) (Rep)_Provisional Votes,Wesley Corbitt (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,431,714,148,1,1294,1294,
1,Effingham,1B,3005,675,983,235,1,1894,1894,
2,Effingham,1C,1446,467,326,92,0,885,885,
3,Effingham,1D,2031,580,594,134,1,1309,1309,
4,Effingham,2A,3038,691,1045,275,1,2012,2012,
5,Effingham,2B,3010,596,894,262,1,1753,1753,
6,Effingham,2C,4621,754,1666,425,4,2849,2849,
7,Effingham,3A,1398,345,460,107,0,912,912,
8,Effingham,3B,1553,333,452,113,0,898,898,
9,Effingham,3C,2060,341,777,143,2,1263,1263,
10,Effingham,3D,3125,545,1136,220,3,1904,1904,
11,Effingham,4A,3726,535,1413,295,2,2245,2245,
12,Effingham,4B,1888,266,595,156,0,1017,1017,
13,Effingham,4C,2837,470,1035,237,0,1742,1742,
14,Effingham,5A,2924,487,1026,228,2,1743,1743,
15,Effingham,5B,3962,607,1266,316,1,2190,2190,
16,Effingham,5C,1684,285,583,148,1,1017,1017,
