index,County,Precinct,Registered Voters,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_Choice Total,Total,
0,Effingham,1A,1965,429,704,150,1,1284,1284,
1,Effingham,1B,3005,671,990,240,1,1902,1902,
2,Effingham,1C,1446,468,319,91,0,878,878,
3,Effingham,1D,2031,577,595,132,1,1305,1305,
4,Effingham,2A,3038,687,1036,277,1,2001,2001,
5,Effingham,2B,3010,592,892,255,1,1740,1740,
6,Effingham,2C,4621,754,1663,425,3,2845,2845,
7,Effingham,3A,1398,344,451,104,0,899,899,
8,Effingham,3B,1553,325,452,112,0,889,889,
9,Effingham,3C,2060,334,766,142,1,1243,1243,
10,Effingham,3D,3125,544,1124,213,3,1884,1884,
11,Effingham,4A,3726,540,1394,291,2,2227,2227,
12,Effingham,4B,1888,265,593,151,0,1009,1009,
13,Effingham,4C,2837,469,1038,238,0,1745,1745,
14,Effingham,5A,2924,488,1031,221,2,1742,1742,
15,Effingham,5B,3962,603,1259,313,1,2176,2176,
16,Effingham,5C,1684,285,586,155,1,1027,1027,
