index,County,Precinct,Registered Voters,Jimmy McDuffie (I) (Rep)_Election Day Votes,Jimmy McDuffie (I) (Rep)_Advanced Voting Votes,Jimmy McDuffie (I) (Rep)_Absentee by Mail Votes,Jimmy McDuffie (I) (Rep)_Provisional Votes,Jimmy McDuffie (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,434,721,151,1,1307,1307,
1,Effingham,1B,3005,688,1012,247,2,1949,1949,
2,Effingham,1C,1446,470,326,96,0,892,892,
3,Effingham,1D,2031,586,599,137,1,1323,1323,
4,Effingham,2A,3038,694,1056,284,1,2035,2035,
5,Effingham,2B,3010,597,907,272,1,1777,1777,
6,Effingham,2C,4621,759,1695,435,4,2893,2893,
7,Effingham,3A,1398,357,471,111,0,939,939,
8,Effingham,3B,1553,351,482,138,0,971,971,
9,Effingham,3C,2060,342,807,148,2,1299,1299,
10,Effingham,3D,3125,567,1181,227,4,1979,1979,
11,Effingham,4A,3726,547,1451,307,2,2307,2307,
12,Effingham,4B,1888,278,616,162,0,1056,1056,
13,Effingham,4C,2837,474,1058,250,0,1782,1782,
14,Effingham,5A,2924,496,1047,226,2,1771,1771,
15,Effingham,5B,3962,614,1292,326,1,2233,2233,
16,Effingham,5C,1684,292,596,159,1,1048,1048,
