index,County,Precinct,Registered Voters,Frank Forrest Floyd (I) (Rep)_Election Day Votes,Frank Forrest Floyd (I) (Rep)_Advanced Voting Votes,Frank Forrest Floyd (I) (Rep)_Absentee by Mail Votes,Frank Forrest Floyd (I) (Rep)_Provisional Votes,Frank Forrest Floyd (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,428,706,150,0,1284,1284,
1,Effingham,1B,3005,664,973,232,1,1870,1870,
2,Effingham,1C,1446,460,320,93,0,873,873,
3,Effingham,1D,2031,573,593,136,1,1303,1303,
