index,County,Precinct,Registered Voters,Bill Hitchens (I) (Rep)_Election Day Votes,Bill Hitchens (I) (Rep)_Advanced Voting Votes,Bill Hitchens (I) (Rep)_Absentee by Mail Votes,Bill Hitchens (I) (Rep)_Provisional Votes,Bill Hitchens (I) (Rep)_Choice Total,Total,
0,Effingham,1A,1965,434,711,150,1,1296,1296,
1,Effingham,1C,1446,468,323,92,0,883,883,
2,Effingham,1D,2031,577,599,133,1,1310,1310,
3,Effingham,2A,3038,686,1045,268,1,2000,2000,
4,Effingham,2B,3010,596,897,259,0,1752,1752,
5,Effingham,2C,4621,751,1675,435,3,2864,2864,
6,Effingham,4B,1888,80,229,51,0,360,360,
7,Effingham,5A,2924,491,1027,225,1,1744,1744,
8,Effingham,5B,3962,610,1273,303,1,2187,2187,
9,Effingham,5C,1684,287,589,155,1,1032,1032,
