index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Dodge,Chauncey,412,146,71,28,0,245,32,16,8,0,56,1,2,0,0,3,304,
1,Dodge,Clark,111,43,19,4,0,66,4,0,0,0,4,1,0,0,0,1,71,
2,Dodge,Eddin,1037,189,286,52,0,527,58,106,67,0,231,5,5,0,0,10,768,
3,Dodge,Empire,456,151,106,26,0,283,7,13,7,0,27,5,5,1,0,11,321,
4,Dodge,Jaybird,212,67,24,10,1,102,18,17,8,0,43,0,1,1,0,2,147,
5,Dodge,Jones,436,127,115,24,0,266,18,21,8,0,47,2,3,2,0,7,320,
6,Dodge,Lee,4816,368,1295,307,4,1974,223,603,262,0,1088,13,42,11,0,66,3128,
7,Dodge,McCranie,293,108,65,18,0,191,8,19,10,0,37,1,0,0,0,1,229,
8,Dodge,Milan,332,108,62,15,0,185,21,11,11,0,43,1,0,0,0,1,229,
9,Dodge,Mitchell,333,114,88,13,0,215,13,21,17,1,52,2,2,1,0,5,272,
10,Dodge,Mullis,505,172,58,46,0,276,39,20,13,0,72,6,1,2,0,9,357,
11,Dodge,Plainfield,454,150,124,23,0,297,10,15,12,0,37,1,0,0,0,1,335,
12,Dodge,Pondtown,689,198,135,57,0,390,38,29,40,0,107,3,2,0,0,5,502,
13,Dodge,Rawlins,923,173,258,55,0,486,31,71,46,0,148,3,6,3,0,12,646,
14,Dodge,Vilula,170,87,37,8,0,132,0,1,6,0,7,2,0,0,0,2,141,
15,Dodge,Yonker,260,105,38,15,0,158,10,7,5,0,22,2,0,0,0,2,182,
