index,County,Precinct,Registered Voters,Kay R. Graham (I) (Rep)_Election Day Votes,Kay R. Graham (I) (Rep)_Advanced Voting Votes,Kay R. Graham (I) (Rep)_Absentee by Mail Votes,Kay R. Graham (I) (Rep)_Provisional Votes,Kay R. Graham (I) (Rep)_Choice Total,Total,
0,Dodge,Chauncey,412,156,68,30,0,254,254,
1,Dodge,Clark,111,47,17,4,0,68,68,
2,Dodge,Eddin,1037,225,313,89,0,627,627,
3,Dodge,Empire,456,149,112,30,0,291,291,
4,Dodge,Jaybird,212,73,33,14,1,121,121,
5,Dodge,Jones,436,117,124,26,0,267,267,
6,Dodge,Lee,4816,517,1604,446,3,2570,2570,
7,Dodge,McCranie,293,100,70,20,0,190,190,
8,Dodge,Milan,332,111,66,22,0,199,199,
9,Dodge,Mitchell,333,110,87,19,1,217,217,
10,Dodge,Mullis,505,193,68,54,0,315,315,
11,Dodge,Plainfield,454,142,121,36,0,299,299,
12,Dodge,Pondtown,689,202,146,61,0,409,409,
13,Dodge,Rawlins,923,188,292,83,0,563,563,
14,Dodge,Vilula,170,70,28,10,0,108,108,
15,Dodge,Yonker,260,109,38,18,0,165,165,
