index,County,Precinct,Registered Voters,Robert Pruitt (Rep)_Election Day Votes,Robert Pruitt (Rep)_Advanced Voting Votes,Robert Pruitt (Rep)_Absentee by Mail Votes,Robert Pruitt (Rep)_Provisional Votes,Robert Pruitt (Rep)_Choice Total,Total,
0,Dodge,Chauncey,412,159,68,29,0,256,256,
1,Dodge,Clark,111,47,18,5,0,70,70,
2,Dodge,Eddin,1037,217,314,90,0,621,621,
3,Dodge,Empire,456,151,114,29,0,294,294,
4,Dodge,Jaybird,212,72,32,14,1,119,119,
5,Dodge,Jones,436,123,128,26,0,277,277,
6,Dodge,Lee,4816,505,1569,418,3,2495,2495,
7,Dodge,McCranie,293,98,69,19,0,186,186,
8,Dodge,Milan,332,108,65,21,0,194,194,
9,Dodge,Mitchell,333,110,90,16,1,217,217,
10,Dodge,Mullis,505,187,66,50,0,303,303,
11,Dodge,Plainfield,454,151,126,34,0,311,311,
12,Dodge,Pondtown,689,209,145,66,0,420,420,
13,Dodge,Rawlins,923,195,292,76,0,563,563,
14,Dodge,Vilula,170,77,31,10,0,118,118,
15,Dodge,Yonker,260,110,42,17,0,169,169,
