index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Dodge,Chauncey,412,143,68,25,0,236,32,14,8,0,54,1,3,1,0,5,295,
1,Dodge,Clark,111,45,19,4,0,68,3,0,0,0,3,1,0,0,0,1,72,
2,Dodge,Eddin,1037,185,276,53,0,514,56,93,64,0,213,6,9,3,0,18,745,
3,Dodge,Empire,456,147,107,25,0,279,8,10,8,0,26,2,3,1,0,6,311,
4,Dodge,Jaybird,212,65,22,11,1,99,17,18,8,0,43,1,0,0,0,1,143,
5,Dodge,Jones,436,123,117,25,0,265,13,18,7,0,38,5,2,2,0,9,312,
6,Dodge,Lee,4816,347,1242,312,3,1904,216,578,266,0,1060,24,40,16,0,80,3044,
7,Dodge,McCranie,293,103,66,18,0,187,5,16,9,0,30,1,0,1,0,2,219,
8,Dodge,Milan,332,95,61,15,0,171,21,10,11,0,42,3,0,0,0,3,216,
9,Dodge,Mitchell,333,109,81,12,1,203,13,20,17,0,50,2,4,1,0,7,260,
10,Dodge,Mullis,505,167,60,45,0,272,31,16,12,0,59,6,1,3,0,10,341,
11,Dodge,Plainfield,454,146,123,23,0,292,9,10,13,0,32,1,1,1,0,3,327,
12,Dodge,Pondtown,689,193,134,55,0,382,37,27,43,0,107,4,1,0,0,5,494,
13,Dodge,Rawlins,923,162,243,57,0,462,28,70,42,0,140,6,7,4,0,17,619,
14,Dodge,Vilula,170,85,33,8,0,126,1,1,6,0,8,1,0,0,0,1,135,
15,Dodge,Yonker,260,101,39,15,0,155,8,5,5,0,18,3,1,0,0,4,177,
