index,County,Precinct,Registered Voters,Dan McCranie (I) (Rep)_Election Day Votes,Dan McCranie (I) (Rep)_Advanced Voting Votes,Dan McCranie (I) (Rep)_Absentee by Mail Votes,Dan McCranie (I) (Rep)_Provisional Votes,Dan McCranie (I) (Rep)_Choice Total,Total,
0,Dodge,Chauncey,412,155,69,28,0,252,252,
1,Dodge,Clark,111,48,17,4,0,69,69,
2,Dodge,Eddin,1037,221,310,88,0,619,619,
3,Dodge,Empire,456,146,113,28,0,287,287,
4,Dodge,Jaybird,212,71,32,13,1,117,117,
5,Dodge,Jones,436,117,123,25,0,265,265,
6,Dodge,Lee,4816,498,1574,442,3,2517,2517,
7,Dodge,McCranie,293,98,71,21,0,190,190,
8,Dodge,Milan,332,111,64,20,0,195,195,
9,Dodge,Mitchell,333,111,87,18,1,217,217,
10,Dodge,Mullis,505,187,67,48,0,302,302,
11,Dodge,Plainfield,454,147,123,34,0,304,304,
12,Dodge,Pondtown,689,202,143,66,0,411,411,
13,Dodge,Rawlins,923,187,287,80,0,554,554,
14,Dodge,Vilula,170,70,27,11,0,108,108,
15,Dodge,Yonker,260,110,39,18,0,167,167,
