index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Dodge,Chauncey,412,143,71,26,0,240,33,12,8,0,53,293,
1,Dodge,Clark,111,46,19,4,0,69,3,0,0,0,3,72,
2,Dodge,Eddin,1037,195,287,62,0,544,57,93,58,0,208,752,
3,Dodge,Empire,456,153,112,26,0,291,9,11,7,0,27,318,
4,Dodge,Jaybird,212,69,23,10,1,103,14,19,9,0,42,145,
5,Dodge,Jones,436,129,114,27,0,270,15,23,7,0,45,315,
6,Dodge,Lee,4816,361,1289,331,3,1984,233,588,266,0,1087,3071,
7,Dodge,McCranie,293,100,69,17,0,186,9,15,11,0,35,221,
8,Dodge,Milan,332,100,63,16,0,179,21,10,11,0,42,221,
9,Dodge,Mitchell,333,116,87,13,1,217,12,20,17,0,49,266,
10,Dodge,Mullis,505,178,58,49,0,285,29,20,11,0,60,345,
11,Dodge,Plainfield,454,150,122,25,0,297,7,13,12,0,32,329,
12,Dodge,Pondtown,689,200,138,56,0,394,38,26,42,0,106,500,
13,Dodge,Rawlins,923,163,259,58,0,480,32,69,44,0,145,625,
14,Dodge,Vilula,170,86,34,8,0,128,2,2,5,0,9,137,
15,Dodge,Yonker,260,106,38,14,0,158,10,6,6,0,22,180,
