index,County,Precinct,Registered Voters,"Steven Craig Peavy, Sr. (I) (Dem)_Election Day Votes","Steven Craig Peavy, Sr. (I) (Dem)_Advanced Voting Votes","Steven Craig Peavy, Sr. (I) (Dem)_Absentee by Mail Votes","Steven Craig Peavy, Sr. (I) (Dem)_Provisional Votes","Steven Craig Peavy, Sr. (I) (Dem)_Choice Total",Total,
0,Dooly,Lilly,536,103,152,50,0,305,305,
1,Dooly,Byromville,609,153,155,77,1,386,386,
2,Dooly,Unadilla,1634,261,480,183,2,926,926,
3,Dooly,Vienna,2696,205,1127,283,0,1615,1615,
4,Dooly,Pinehurst,474,104,181,56,1,342,342,
