index,County,Precinct,Registered Voters,Patty Bentley (I) (Dem)_Election Day Votes,Patty Bentley (I) (Dem)_Advanced Voting Votes,Patty Bentley (I) (Dem)_Absentee by Mail Votes,Patty Bentley (I) (Dem)_Provisional Votes,Patty Bentley (I) (Dem)_Choice Total,Total,
0,Dooly,Lilly,536,95,128,49,0,272,272,
1,Dooly,Byromville,609,144,140,73,2,359,359,
2,Dooly,Unadilla,1634,234,406,167,0,807,807,
3,Dooly,Vienna,2696,194,948,253,0,1395,1395,
4,Dooly,Pinehurst,474,86,140,47,0,273,273,
