index,County,Precinct,Registered Voters,David M. Mixon (Rep)_Election Day Votes,David M. Mixon (Rep)_Advanced Voting Votes,David M. Mixon (Rep)_Absentee by Mail Votes,David M. Mixon (Rep)_Provisional Votes,David M. Mixon (Rep)_Choice Total,Terrell Hudson (I) (Ind)_Election Day Votes,Terrell Hudson (I) (Ind)_Advanced Voting Votes,Terrell Hudson (I) (Ind)_Absentee by Mail Votes,Terrell Hudson (I) (Ind)_Provisional Votes,Terrell Hudson (I) (Ind)_Choice Total,Total,
0,Dooly,Unadilla,1634,29,84,19,0,132,40,120,45,0,205,337,
1,Dooly,Vienna,2696,19,177,19,0,215,6,73,9,0,88,303,
2,Dooly,Pinehurst,474,52,98,28,1,179,60,91,30,0,181,360,
