index,County,Precinct,Registered Voters,Paula M. Smith (Dem)_Election Day Votes,Paula M. Smith (Dem)_Advanced Voting Votes,Paula M. Smith (Dem)_Absentee by Mail Votes,Paula M. Smith (Dem)_Provisional Votes,Paula M. Smith (Dem)_Choice Total,Total,
0,Dooly,Lilly,536,107,146,55,0,308,308,
1,Dooly,Byromville,609,156,152,82,1,391,391,
2,Dooly,Unadilla,1634,249,439,181,1,870,870,
3,Dooly,Vienna,2696,206,1053,271,0,1530,1530,
4,Dooly,Pinehurst,474,92,169,50,0,311,311,
