index,County,Precinct,Registered Voters,James R. Hudson (Rep)_Election Day Votes,James R. Hudson (Rep)_Advanced Voting Votes,James R. Hudson (Rep)_Absentee by Mail Votes,James R. Hudson (Rep)_Provisional Votes,James R. Hudson (Rep)_Choice Total,Total,
0,Dooly,Lilly,536,80,129,30,0,239,239,
1,Dooly,Byromville,609,125,126,61,0,312,312,
2,Dooly,Unadilla,1634,221,430,142,2,795,795,
3,Dooly,Vienna,2696,179,981,200,0,1360,1360,
4,Dooly,Pinehurst,474,94,169,50,0,313,313,
