index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Dooly,Lilly,536,56,97,17,0,170,53,68,40,0,161,331,
1,Dooly,Byromville,609,94,100,32,0,226,69,68,56,2,195,421,
2,Dooly,Unadilla,1634,132,311,77,2,522,149,225,122,0,496,1018,
3,Dooly,Vienna,2696,88,732,87,0,907,133,474,218,0,825,1732,
4,Dooly,Pinehurst,474,89,152,42,0,283,26,37,20,0,83,366,
