index,County,Precinct,Registered Voters,Stacy Ralph Williams (Rep)_Election Day Votes,Stacy Ralph Williams (Rep)_Advanced Voting Votes,Stacy Ralph Williams (Rep)_Absentee by Mail Votes,Stacy Ralph Williams (Rep)_Provisional Votes,Stacy Ralph Williams (Rep)_Choice Total,Total,
0,Haralson,Bremen,6622,1066,2420,711,0,4197,4197,
1,Haralson,Buchanan,2365,401,848,253,1,1503,1503,
2,Haralson,Buncombe,1075,293,261,100,0,654,654,
3,Haralson,Corinth,1682,387,522,150,0,1059,1059,
4,Haralson,Twentieth,738,222,195,82,0,499,499,
5,Haralson,Felton,304,110,77,24,0,211,211,
6,Haralson,Little Creek,699,254,160,66,0,480,480,
7,Haralson,Mt View,330,138,67,26,0,231,231,
8,Haralson,Seventh,1932,390,596,170,2,1158,1158,
9,Haralson,Berea-Steadman,665,210,168,56,0,434,434,
10,Haralson,Tallapoosa,3072,590,877,334,1,1802,1802,
11,Haralson,Waco,1183,335,308,94,0,737,737,
