index,County,Precinct,Registered Voters,Trey Kelley (I) (Rep)_Election Day Votes,Trey Kelley (I) (Rep)_Advanced Voting Votes,Trey Kelley (I) (Rep)_Absentee by Mail Votes,Trey Kelley (I) (Rep)_Provisional Votes,Trey Kelley (I) (Rep)_Choice Total,Lyndsay Arrendale (Dem)_Election Day Votes,Lyndsay Arrendale (Dem)_Advanced Voting Votes,Lyndsay Arrendale (Dem)_Absentee by Mail Votes,Lyndsay Arrendale (Dem)_Provisional Votes,Lyndsay Arrendale (Dem)_Choice Total,Total,
0,Haralson,Corinth,1682,384,503,140,0,1027,23,46,30,0,99,1126,
1,Haralson,Twentieth,738,216,189,67,0,472,14,17,26,0,57,529,
2,Haralson,Felton,304,103,68,20,0,191,7,6,7,0,20,211,
3,Haralson,Little Creek,699,129,88,33,0,250,11,6,7,0,24,274,
4,Haralson,Mt View,330,133,63,25,0,221,9,7,2,0,18,239,
