index,County,Precinct,Registered Voters,Amy Richie Muse (Rep)_Election Day Votes,Amy Richie Muse (Rep)_Advanced Voting Votes,Amy Richie Muse (Rep)_Absentee by Mail Votes,Amy Richie Muse (Rep)_Provisional Votes,Amy Richie Muse (Rep)_Choice Total,Total,
0,Haralson,Bremen,6622,1072,2443,722,0,4237,4237,
1,Haralson,Buchanan,2365,412,850,245,1,1508,1508,
2,Haralson,Buncombe,1075,302,266,98,0,666,666,
3,Haralson,Corinth,1682,402,529,151,0,1082,1082,
4,Haralson,Twentieth,738,221,196,82,0,499,499,
5,Haralson,Felton,304,110,76,23,0,209,209,
6,Haralson,Little Creek,699,267,166,65,0,498,498,
7,Haralson,Mt View,330,138,68,26,0,232,232,
8,Haralson,Seventh,1932,393,602,178,2,1175,1175,
9,Haralson,Berea-Steadman,665,220,168,54,0,442,442,
10,Haralson,Tallapoosa,3072,609,881,333,1,1824,1824,
11,Haralson,Waco,1183,336,311,98,0,745,745,
