County,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_TOTAL VOTES,Total,
Brooks,1663,978,2803,5,5449,5449,
Colquitt,4708,1897,6903,11,13519,13519,
Echols,227,133,942,0,1302,1302,
Lowndes,7134,6006,22405,287,35832,35832,
Thomas,3457,2647,10681,2,16787,16787,
Tift,3350,1875,8289,19,13533,13533,
