County,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_TOTAL VOTES,Total,
Bulloch,8015,4256,11678,34,23983,23983,
Effingham,8375,3510,14893,18,26796,26796,
Jenkins,716,488,1414,3,2621,2621,
Screven,1498,776,2541,11,4826,4826,
