County,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_TOTAL VOTES,Total,
Carroll,12842,6706,25941,32,45521,45521,
Coweta,21303,13373,28315,13,63004,63004,
Heard,1688,779,2277,1,4745,4745,
Meriwether,2719,1592,3938,4,8253,8253,
Troup,5972,4260,12850,57,23139,23139,
