County,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_TOTAL VOTES,Total,
Murray,3951,1553,7830,0,13334,13334,
Whitfield,10274,4741,15167,48,30230,30230,
