County,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_TOTAL VOTES,Total,
Atkinson,789,224,1495,1,2509,2509,
Berrien,2012,943,4049,9,7013,7013,
Clinch,694,258,1342,1,2295,2295,
Cook,1470,782,3845,0,6097,6097,
Lanier,612,395,2026,0,3033,3033,
